symbol,name,close_price,volume,vol_vs_avg,change_in_percent,days_old
RYAM,Rayonier Advanced Materials Inc.,15.7,360896,0.54,3.49,409
COF,Capital One Financial Corporation,82.5,1574868,0.54,0.47,403
FGEN,"FibroGen, Inc",33.45,252244,0.54,2.14,418
BOFI,"BofI Holding, Inc.",24.01,409549,0.53,2.43,405
SRPT,"Sarepta Therapeutics, Inc.",34.36,962283,0.53,0.88,408
HOPE,"Hope Bancorp, Inc.",18.93,280843,0.52,1.12,417
TSU,TIM Participacoes S.A.,15.11,530865,0.51,1.48,408
BTU,Peabody Energy Corporation,25.31,653457,0.51,0.88,70
F,Ford Motor Company,11.26,20364967,0.51,0.72,400
EQM,"EQT Midstream Partners, LP",76.3,163721,0.51,0.55,400
ITT,ITT Corporation,40.59,351624,0.51,0.69,415
EROS,Eros International PLC,11.55,178468,0.51,0.0,400
RLGY,Realogy Holdings Corp.,32.61,537759,0.5,1.21,409
INT,World Fuel Services Corporation,38.14,282681,0.5,0.66,415
KORS,Michael Kors Holdings,36.04,1230679,0.49,1.55,414
ZION,Zions Bancorporation,44.44,1450659,0.49,0.73,404
GWR,Genesee & Wyoming Inc.,68.86,216059,0.49,0.95,417
AJRD,"Aerojet Rocketdyne Holdings, Inc.",21.79,199450,0.49,2.16,407
MOD,Modine Manufacturing Company,16.6,174232,0.49,2.15,413
PRI,"Primerica, Inc.",77.4,160666,0.49,2.11,411
CSFL,"CenterState Banks, Inc.",25.21,144682,0.48,1.57,403
ADTN,"ADTRAN, Inc.",20.5,152743,0.48,2.24,407
FOE,Ferro Corporation,18.26,287146,0.48,2.24,418
FIBK,"First Interstate BancSystem, Inc.",37.75,157547,0.47,1.48,418
GES,"Guess?, Inc.",12.48,637728,0.47,1.88,418
ALV,"Autoliv, Inc.",114.2,283306,0.47,1.14,407
SPR,"Spirit Aerosystems Holdings, Inc.",58.94,500966,0.46,1.13,408
SEM,Select Medical Holdings Corporation,15.3,315351,0.45,2.0,409
WLTW,Willis Towers Watson Public Limited Company,146.32,492906,0.45,0.89,383
NATI,National Instruments Corporation,40.23,381238,0.45,1.18,413
BG,Bunge Limited,76.84,789482,0.45,1.9,405
MDRX,"Allscripts Healthcare Solutions, Inc.",12.85,1248812,0.45,1.5,413
AL,Air Lease Corporation,38.07,454438,0.44,0.34,407
OA,"Orbital ATK, Inc.",102.33,137289,0.44,1.68,413
NS,Nustar Energy L.P. ,47.62,202953,0.44,3.12,413
YRCW,"YRC Worldwide, Inc.",11.55,386453,0.44,3.77,404
AMBC,"Ambac Financial Group, Inc.",17.36,157176,0.44,0.35,407
ABMD,"ABIOMED, Inc.",142.05,139908,0.44,1.49,407
ATRA,"Atara Biotherapeutics, Inc.",14.9,121996,0.43,1.02,406
GTN,"Gray Communications Systems, Inc.",13.7,382979,0.42,1.48,417
BRKR,Bruker Corporation,29.49,343129,0.42,1.58,404
IEX,IDEX Corporation,113.7587,174594,0.42,1.3,416
CW,Curtiss-Wright Corporation,93.07,108913,0.42,1.37,402
CBU,"Community Bank System, Inc.",56.54,131328,0.41,0.87,404
SLM,SLM Corporation,11.36,1522001,0.41,1.07,408
GPI,"Group 1 Automotive, Inc.",63.01,113908,0.4,1.71,417
SHLX,"Shell Midstream Partners, L.P.",30.46,153743,0.39,0.66,408
SBCF,Seacoast Banking Corporation of Florida,24.35,114747,0.37,0.79,409
PSXP,Phillips 66 Partners LP,50.2,121504,0.37,2.09,411
TEN,Tenneco Inc.,58.12,262487,0.36,1.89,408
CSII,"Cardiovascular Systems, Inc.",32.51,119119,0.34,2.01,403
CM,Canadian Imperial Bank of Commerce,82.26,480311,0.32,0.39,403
HOMB,"Home BancShares, Inc.",24.95,362363,0.32,0.44,417
AVT,"Avnet, Inc.",38.99,448313,0.31,2.07,405
KRNT,Kornit Digital Ltd.,19.75,76405,0.19,2.6,414
